type,dateTime,gameMode,player,pl_tag,pl_crowns,pl_deck,opponent,op_tag,op_crowns,op_deck
pathOfLegend,20221101T110310.000Z,Ranked1v1,juanxi99,#YCL0JVQG,1,Bats;Hog Rider;Ice Golem;Ice Spirit;Mini P.E.K.K.A;Princess;Rocket;The Log,XxperxX,#28R2LCQ9,0,Bandit;Electro Wizard;Elixir Collector;Golem;Inferno Dragon;Mini P.E.K.K.A;Musketeer;Zap
PvP,20221101T105937.000Z,Ladder,juanxi99,#YCL0JVQG,1,Bats;Hog Rider;Ice Golem;Ice Spirit;Mini P.E.K.K.A;Princess;Rocket;The Log,福福,#8G00RLP8L,0,Firecracker;Goblin Barrel;Musketeer;Princess;Rocket;Skeleton Army;The Log;Valkyrie
pathOfLegend,20221029T175852.000Z,Ranked1v1_GoldRush,juanxi99,#YCL0JVQG,1,Bats;Hog Rider;Ice Golem;Ice Spirit;Mini P.E.K.K.A;Princess;Rocket;The Log,MRS. WARHEAD,#8G9V082J,0,Bomber;Elite Barbarians;Miner;Minion Horde;Mother Witch;Night Witch;Prince;Wizard
pathOfLegend,20221029T175437.000Z,Ranked1v1_GoldRush,juanxi99,#YCL0JVQG,1,Bats;Hog Rider;Ice Golem;Ice Spirit;Mini P.E.K.K.A;Princess;Rocket;The Log,sergio,#Y9G2VYLCG,0,Bats;Dart Goblin;Freeze;Mega Knight;Mini P.E.K.K.A;Princess;Royal Giant;Skeleton Army
PvP,20221011T085545.000Z,Ladder,juanxi99,#YCL0JVQG,0,Bats;Hog Rider;Ice Golem;Ice Spirit;Mini P.E.K.K.A;Princess;Rocket;The Log,vijval999,#82VUP8G00,1,Goblin Barrel;Hog Rider;Inferno Tower;Knight;Skeleton Army;The Log;Wizard;Zap
PvP,20221010T115443.000Z,Ladder,juanxi99,#YCL0JVQG,2,Cannon Cart;Dart Goblin;Goblin Barrel;Goblin Gang;Princess;Rascals;Rocket;The Log,1899decano!,#9GQU08RRU,0,Balloon;Barbarians;Flying Machine;Freeze;Goblin Barrel;Royal Giant;Three Musketeers;Wizard
challenge,20221001T163048.000Z,RampUpElixir_Friendly,juanxi99,#YCL0JVQG,0,Cannon Cart;Dart Goblin;Goblin Barrel;Goblin Gang;Princess;Rascals;Rocket;The Log,HSK,#YYRP8Y00,1,Arrows;Balloon;Firecracker;Hog Rider;Knight;Valkyrie;Witch;Wizard
challenge,20220927T093655.000Z,DraftMode,juanxi99,#YCL0JVQG,0,Balloon;Bats;Electro Spirit;Giant Snowball;Ice Golem;Knight;Lumberjack;The Log,فرشید ثابتی,#9Q08QL2PL,1,Earthquake;Freeze;Goblin Giant;Goblins;Hunter;Ice Spirit;Mini P.E.K.K.A;Skeleton Barrel
PvP,20220927T093232.000Z,Ladder,juanxi99,#YCL0JVQG,1,Cannon Cart;Dart Goblin;Goblin Barrel;Goblin Gang;Princess;Rascals;Rocket;The Log,علوش المدريدي,#290YJUR80,0,Electro Wizard;Golem;Inferno Dragon;Knight;Lightning;Minion Horde;Skeleton Army;Zap
PvP,20220927T092909.000Z,Ladder,juanxi99,#YCL0JVQG,1,Cannon Cart;Dart Goblin;Goblin Barrel;Goblin Gang;Princess;Rascals;Rocket;The Log,Batman,#2CPV9P8UC,0,Bandit;Elite Barbarians;Inferno Dragon;Lumberjack;Skeleton Army;Valkyrie;Witch;Zap
challenge,20220926T112324.000Z,DraftMode,juanxi99,#YCL0JVQG,1,Barbarian Barrel;Elixir Golem;Fire Spirit;Miner;Night Witch;Skeleton Army;Spear Goblins;X-Bow,bobthebutt,#VQG222Q8,0,Battle Ram;Dark Prince;Dart Goblin;Goblin Drill;Goblin Gang;Lightning;Prince;Royal Ghost
PvP,20220926T093602.000Z,Ladder,juanxi99,#YCL0JVQG,3,Cannon Cart;Dart Goblin;Goblin Barrel;Goblin Gang;Princess;Rascals;Rocket;The Log,Ghostfer,#289VGGCLU,0,Barbarians;Firecracker;Furnace;Poison;Royal Hogs;Skeleton Barrel;Valkyrie;Wizard
challenge,20220924T174015.000Z,DraftMode,juanxi99,#YCL0JVQG,2,Electro Wizard;Elixir Collector;Giant;Goblin Giant;Ice Spirit;Inferno Tower;Musketeer;Rocket,treyser,#GYQRQ8JC,1,Baby Dragon;Fireball;Fisherman;Furnace;Guards;Ice Golem;P.E.K.K.A;Ram Rider
challenge,20220923T190412.000Z,Challenge_AllCards_EventDeck,juanxi99,#YCL0JVQG,0,Cannon Cart;Dart Goblin;Goblin Barrel;Goblin Gang;Princess;Rascals;Rocket;The Log,CC I Gussel,#RRGG88JGU,1,Bandit;Barbarian Barrel;Electro Wizard;Mega Knight;Mighty Miner;Mother Witch;Poison;Ram Rider
challenge,20220923T185937.000Z,Challenge_AllCards_EventDeck,juanxi99,#YCL0JVQG,1,Cannon Cart;Dart Goblin;Goblin Barrel;Goblin Gang;Princess;Rascals;Rocket;The Log,Maestroclans,#80UPJG09R,0,Bats;Dart Goblin;Electro Spirit;Goblin Barrel;Mega Knight;Skeletons;Tesla;The Log
challenge,20220923T152017.000Z,Challenge_AllCards_EventDeck,juanxi99,#YCL0JVQG,1,Cannon Cart;Dart Goblin;Goblin Barrel;Goblin Gang;Princess;Rascals;Rocket;The Log,Hussien,#RPJRJGRR9,0,Archer Queen;Bomber;Dark Prince;Electro Giant;Goblin Cage;Lightning;Skeletons;Tornado
challenge,20220918T083558.000Z,Challenge_AllCards_EventDeck,juanxi99,#YCL0JVQG,1,Cannon Cart;Dart Goblin;Goblin Barrel;Goblin Gang;Princess;Rascals;Rocket;The Log,Teo♧,#UYV2Y282,0,Freeze;Goblin Gang;Hog Rider;Knight;Musketeer;Princess;Rocket;The Log
challenge,20220917T170223.000Z,Challenge_AllCards_EventDeck,juanxi99,#YCL0JVQG,0,Cannon Cart;Dart Goblin;Goblin Barrel;Goblin Gang;Princess;Rascals;Rocket;The Log,flavitoes,#GLLQ2U2L,1,Bomb Tower;Magic Archer;Miner;Skeletons;The Log;Tornado;Valkyrie;Wall Breakers
PvP,20220917T165904.000Z,Ladder_CrownRush,juanxi99,#YCL0JVQG,1,Cannon Cart;Dart Goblin;Goblin Barrel;Goblin Gang;Princess;Rascals;Rocket;The Log,LoneWolf,#9J9YYJ820,0,Arrows;Baby Dragon;Dark Prince;Giant Skeleton;Knight;Mega Knight;The Log;Wizard
PvP,20220917T165521.000Z,Ladder_CrownRush,juanxi99,#YCL0JVQG,1,Cannon Cart;Dart Goblin;Goblin Barrel;Goblin Gang;Princess;Rascals;Rocket;The Log,deli tarzan,#89L8Y0QUU,0,Dark Prince;Electro Giant;Goblin Cage;Goblin Gang;Hunter;Mighty Miner;Night Witch;Valkyrie
PvP,20220917T165152.000Z,Ladder_CrownRush,juanxi99,#YCL0JVQG,2,Cannon Cart;Dart Goblin;Goblin Barrel;Goblin Gang;Princess;Rascals;Rocket;The Log,Ielidro,#PCQY899G,1,Archers;Balloon;Clone;Giant Skeleton;Mirror;Poison;Rage;Witch
